db.m5.large,2,8,3500,128.16
db.m5.xlarge,4,16,3500,256.32
db.m5.2xlarge,8,32,3500,512.64
db.m5.4xlarge,16,64,3500,1025.28
db.m5.12xlarge,48,192,7000,3075.84
db.m5.24xlarge,96,384,14000,6151.68
db.r5.large,2,16,3500,180.00
db.r5.xlarge,4,32,3500,360.00
db.r5.2xlarge,8,64,3500,720.00
db.r5.4xlarge,16,128,3500,1440.00
db.r5.12xlarge,48,384,7000,4320.00
db.r5.24xlarge,96,768,14000,8640.00
